model,mean_similarity,min_similarity,max_similarity,std_similarity
gpt2-xl,0.32985289745154384,0.2170142402044395,0.4916784475233056,0.07722767378480565
gpt2-xl,0.3899870901585166,0.27027812358401926,0.5259953737258911,0.06451941336844666
gpt2-xl,0.3870630362446397,0.24755457043647766,0.5172002469658927,0.07564894681438653
gpt2-xl,0.389263382490308,0.25183582305908203,0.6281586289405823,0.10162590558080074
gpt2-xl,0.40402638977883987,0.3285970492007113,0.5429176253949891,0.060154221242491215
gpt2-xl,0.29076602128541096,0.1909192686725102,0.3549247980117798,0.04747616533715879
gpt2-xl,0.3838408722658119,0.3123275339603424,0.5301840901374817,0.07285246223082877
gpt2-xl,0.4103212535627792,0.29483701555949593,0.8325073818858053,0.15205918442247848
gpt2-xl,0.34167554602427586,0.26483531384678605,0.4641966223716736,0.06678982465030031
gpt2-xl,0.35202575480816495,0.24492445648617245,0.48560494356096806,0.07954242701065292
